run_name	run_number	grating_value[um]	SAW_freq[Hz]	SAW_freq_error[Hz]	A[Wm^-2]	A_err[Wm^-2]	alpha[m^2s^-1]	alpha_err[m2s-1]	beta[s^0.5]	beta_err[s^0.5]	B[Wm^-2]	B_err[Wm^-2]	theta	theta_err	tau[s]	tau_err[s]	C[Wm^-2]	C_err[Wm^-2]
Technology\MIT_postdoc\TGS\Data\Kyocera_W_W\Tungsten_Kyocera\2024-02-05\Tungsten_Kyocera-2024-02-05-03.40um-spot03-POS-52.txt	52	3.5217	7.50E+08	3985.1921	0.24953766	0.036922714	3.76E-05	6.39E-07	5.70E-06	4.16E-06	0.008323562	0.000123139	-2.3856908	0.0100327	3.76E-08	7.39E-10	0.001971326	1.80E-05
Technology\MIT_postdoc\TGS\Data\Kyocera_W_W\Tungsten_Kyocera\2024-02-05\Tungsten_Kyocera-2024-02-05-03.40um-spot03-POS-53.txt	53	3.5217	7.50E+08	3936.8514	0.22353604	0.018828537	3.63E-05	3.28E-07	2.32E-06	2.70E-06	0.014673819	8.50E-05	2.6952101	0.003879625	2.56E-08	1.88E-10	0.002057879	9.37E-06
Technology\MIT_postdoc\TGS\Data\Kyocera_W_W\Tungsten_Kyocera\2024-02-05\Tungsten_Kyocera-2024-02-05-03.40um-spot03-POS-54.txt	54	3.5217	7.50E+08	3483.1855	0.22762211	0.034097818	3.75E-05	5.79E-07	1.05E-06	4.92E-06	0.008508528	0.000109749	2.7740554	0.008682154	3.84E-08	6.57E-10	0.001896738	1.61E-05
Technology\MIT_postdoc\TGS\Data\Kyocera_W_W\Tungsten_Kyocera\2024-02-05\Tungsten_Kyocera-2024-02-05-03.40um-spot03-POS-55.txt	55	3.5217	7.50E+08	4230.4748	0.220774	0.03550425	3.72E-05	6.20E-07	9.26E-07	5.32E-06	0.008467613	0.000119143	3.2036684	0.009494399	3.70E-08	6.87E-10	0.002018312	1.71E-05
Technology\MIT_postdoc\TGS\Data\Kyocera_W_W\Tungsten_Kyocera\2024-02-05\Tungsten_Kyocera-2024-02-05-03.40um-spot03-POS-56.txt	56	3.5217	7.50E+08	3794.5072	0.20352475	0.000909116	3.59E-05	1.12E-07	7.21E-10	NaN	0.015940488	9.06E-05	2.9528262	0.003810101	2.41E-08	1.73E-10	0.002175137	9.39E-06
Technology\MIT_postdoc\TGS\Data\Kyocera_W_W\Tungsten_Kyocera\2024-02-05\Tungsten_Kyocera-2024-02-05-03.40um-spot03-POS-57.txt	57	3.5217	7.50E+08	4245.6425	0.21300467	0.019520287	3.65E-05	3.46E-07	7.30E-07	3.08E-06	0.015742248	9.38E-05	2.6976279	0.003982651	2.32E-08	1.73E-10	0.002309296	9.59E-06
Technology\MIT_postdoc\TGS\Data\Kyocera_W_W\Tungsten_Kyocera\2024-02-05\Tungsten_Kyocera-2024-02-05-03.40um-spot03-POS-58.txt	58	3.5217	7.50E+08	3642.3619	0.20327835	0.018104599	3.56E-05	3.36E-07	2.35E-08	3.07E-06	0.01560309	9.33E-05	2.9359642	0.003995878	2.39E-08	1.80E-10	0.001907266	9.84E-06
Technology\MIT_postdoc\TGS\Data\Kyocera_W_W\Tungsten_Kyocera\2024-02-05\Tungsten_Kyocera-2024-02-05-03.40um-spot03-POS-59.txt	59	3.5217	7.50E+08	3526.5917	0.20079351	0.000864915	3.57E-05	1.08E-07	6.32E-13	NaN	0.01575151	8.64E-05	-3.1204107	0.003691439	2.42E-08	1.68E-10	0.001796216	9.01E-06
Technology\MIT_postdoc\TGS\Data\Kyocera_W_W\Tungsten_Kyocera\2024-02-05\Tungsten_Kyocera-2024-02-05-03.40um-spot03-POS-60.txt	60	3.5217	7.50E+08	3901.1821	0.21232753	0.018491842	3.60E-05	3.27E-07	6.17E-07	2.95E-06	0.015994011	9.17E-05	2.6771801	0.003832762	2.34E-08	1.68E-10	0.001941986	9.45E-06
Technology\MIT_postdoc\TGS\Data\Kyocera_W_W\Tungsten_Kyocera\2024-02-05\Tungsten_Kyocera-2024-02-05-03.40um-spot03-POS-61.txt	61	3.5217	7.50E+08	4087.7829	0.21086701	0.019123959	3.61E-05	3.37E-07	5.26E-08	3.12E-06	0.015285123	9.16E-05	2.6942893	0.004008984	2.42E-08	1.82E-10	0.001920092	9.68E-06
